TOT_POP,ICU Beds_x,Population Aged 60+,anycondition_prevalence,anycondition_number,Obesity_prevalence,Obesity_number,Heart disease_prevalence,COPD_prevalence,COPD_number,diabetes_number,CKD_number,y
13632.0,0.0,1663.0,43.4,4054.0,36.1,3372.0,6.0,5.8,538.0,830.0,231.0,556
4599.0,0.0,1136.0,49.3,1697.0,37.2,1281.0,9.7,11.3,391.0,453.0,122.0,334
2962.0,0.0,771.0,49.6,1084.0,37.0,808.0,9.5,9.4,206.0,321.0,82.0,208
5972.0,0.0,1684.0,40.1,1822.0,30.5,1385.0,8.7,8.2,370.0,562.0,162.0,396
9193.0,0.0,1891.0,45.7,3357.0,33.8,2482.0,8.2,9.5,701.0,1049.0,260.0,606
4240.0,0.0,1233.0,48.4,1587.0,33.2,1089.0,9.5,8.5,279.0,520.0,144.0,313
28601.0,0.0,7326.0,50.2,11469.0,34.9,7979.0,8.7,9.9,2261.0,2748.0,775.0,1986
8414.0,0.0,2484.0,54.3,3465.0,38.8,2475.0,10.6,11.9,758.0,956.0,247.0,676
87847.0,10.0,20377.0,43.8,30860.0,37.9,26686.0,7.1,6.9,4872.0,7072.0,2078.0,5000
857620.0,186.0,194911.0,39.5,270355.0,30.7,210164.0,6.5,6.3,43306.0,73592.0,19430.0,44330
33839.0,0.0,8739.0,53.4,14619.0,39.0,10672.0,10.2,12.6,3451.0,4150.0,919.0,2778
10787.0,0.0,3817.0,53.6,4873.0,37.8,3436.0,11.4,11.9,1081.0,1375.0,378.0,1037
9038.0,0.0,2400.0,46.5,3483.0,37.0,2769.0,9.3,9.8,734.0,1107.0,293.0,698
7644.0,0.0,2064.0,47.9,2736.0,35.1,2005.0,9.2,9.0,517.0,718.0,190.0,525
2105.0,0.0,537.0,48.0,747.0,37.3,580.0,8.0,7.4,115.0,200.0,51.0,124
14029.0,4.0,4452.0,52.2,5842.0,39.0,4368.0,10.5,10.7,1195.0,1884.0,486.0,1171
15249.0,2.0,4507.0,50.3,6189.0,38.4,4723.0,8.3,7.6,935.0,1411.0,401.0,1026
102985.0,0.0,18623.0,35.7,28000.0,30.5,23938.0,5.7,6.3,4922.0,7217.0,1916.0,4453
7176.0,0.0,2694.0,46.5,2743.0,31.4,1854.0,11.0,10.6,628.0,847.0,244.0,650
61607.0,16.0,11885.0,45.8,20472.0,37.3,16668.0,6.7,6.9,3103.0,4937.0,1331.0,2997
10352.0,0.0,2645.0,49.9,4008.0,35.8,2878.0,10.6,11.4,913.0,1140.0,298.0,852
49728.0,20.0,12011.0,50.5,19135.0,36.7,13907.0,9.4,9.7,3686.0,5416.0,1400.0,3579
18717.0,0.0,4867.0,50.3,7180.0,40.3,5754.0,8.4,8.5,1217.0,1780.0,481.0,1194
70422.0,0.0,12724.0,39.4,20697.0,28.2,14813.0,6.9,8.1,4249.0,5853.0,1527.0,3605
10880.0,0.0,2733.0,51.7,4381.0,38.3,3246.0,10.7,13.2,1119.0,1301.0,303.0,906
58485.0,10.0,8834.0,52.6,21160.0,42.1,16941.0,8.1,6.7,2701.0,7131.0,1632.0,3264
