TOT_POP,ICU Beds_x,Population Aged 60+,STATE_FIPS,CNTY_FIPS,anycondition_prevalence,anycondition_number,Obesity_prevalence,Obesity_number,Heart disease_prevalence,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number
99154,41,28731,5,51,44.9,35568,31.5,24952,10.3,10.3,8149,14.1,11133,3.8,2980
23541,0,6175,51,105,51.2,9798,36.4,6963,10.8,12.5,2385,14.9,2843,4.0,767
351713,22,45623,49,11,33.6,80229,28.0,66848,4.2,4.1,9685,8.2,19682,2.2,5239
41890,10,10550,47,51,45.2,15141,31.7,10614,9.2,10.5,3502,13.2,4427,3.4,1123
16482,0,4481,51,520,49.4,6503,34.0,4474,9.5,10.6,1401,13.6,1791,3.8,496
8351,0,2190,13,197,48.8,3212,35.4,2328,10.0,11.3,742,17.4,1143,4.2,279
82040,11,13033,40,119,41.5,27454,31.4,20795,6.5,7.0,4639,9.2,6077,2.6,1718
164572,46,31691,50,7,29.3,39620,22.5,30467,5.0,5.4,7257,7.5,10172,2.3,3161
66765,16,13403,20,15,46.8,23293,38.2,19012,6.9,7.1,3525,11.0,5499,2.8,1407
4377,0,994,28,125,63.3,2102,46.1,1531,12.3,13.3,441,23.1,766,5.5,184
64000,11,12757,5,115,48.5,24005,33.9,16777,8.5,9.3,4591,12.5,6208,3.1,1553
3253,0,781,48,417,48.8,1223,35.5,889,9.5,9.4,235,13.5,337,3.6,90
9404,0,2739,30,1,36.2,2808,26.6,2066,7.6,6.6,513,10.1,788,3.1,242
762,0,164,8,111,34.7,231,24.6,164,7.4,6.7,45,9.8,65,3.2,21
94016,21,22363,37,127,49.7,36526,38.2,28056,8.5,8.9,6521,15.0,11033,3.7,2711
9721,0,2814,54,85,57.7,4487,40.2,3127,11.8,14.6,1136,16.4,1273,3.8,296
6254,0,1726,27,167,44.0,2135,35.9,1742,7.4,6.2,299,10.6,513,3.1,150
6658,0,2313,27,73,44.3,2355,34.4,1829,8.8,6.9,366,11.8,626,3.5,189
55933,0,15643,42,103,45.9,21072,32.3,14823,8.0,7.9,3611,12.1,5554,3.3,1499
24790,0,5705,13,55,53.5,10291,36.0,6925,9.8,12.0,2299,15.2,2928,3.8,738
14523,0,3666,51,43,41.6,4843,30.7,3572,8.0,8.3,960,11.8,1370,3.2,374
45754,6,10606,45,25,53.3,19053,39.3,14039,9.5,10.7,3839,17.2,6153,4.1,1455
34220,0,6976,27,103,35.8,9545,30.3,8070,5.8,4.8,1289,8.4,2228,2.5,672
2474,0,727,2,100,38.3,785,28.3,580,7.5,7.4,151,10.9,223,3.2,65
10178,0,2986,31,89,47.1,3587,36.3,2766,8.2,7.3,559,11.1,846,3.2,246
12277,0,3542,1,35,59.3,5764,43.2,4202,11.7,12.7,1239,20.5,1994,4.8,464
6336,0,1958,31,3,46.6,2251,37.3,1800,8.9,8.3,400,12.1,584,3.5,168
5171,0,1721,29,5,45.9,1896,33.0,1364,9.2,9.9,411,12.6,522,3.4,142
316739,148,51648,37,63,36.9,92610,30.2,75776,5.8,6.0,14975,10.7,26877,2.8,7123
255648,18,46881,24,21,40.7,80034,31.6,62084,5.9,6.2,12099,10.1,19821,2.6,5073
13383,0,2882,5,79,53.5,5953,41.6,4631,9.0,9.7,1076,13.9,1552,3.4,378
17377,4,5148,55,103,45.8,6228,35.0,4762,8.8,8.2,1121,11.6,1575,3.5,473
178435,36,34692,37,97,45.5,62456,34.1,46845,7.2,7.8,10669,11.6,15882,3.0,4090
65711,27,11946,48,347,47.7,24062,36.4,18370,7.7,8.2,4121,12.9,6505,3.2,1636
2247,0,729,53,23,48.0,850,35.1,621,8.7,7.5,133,11.9,210,3.5,61
6993,0,2030,19,71,47.2,2563,37.0,2008,8.7,8.1,439,11.6,629,3.4,186
39771,8,12268,23,13,41.2,13469,29.5,9644,8.7,8.0,2625,10.0,3264,3.3,1088
10137,0,2395,29,89,46.6,3700,33.9,2691,8.5,9.6,761,12.1,958,3.3,259
50592,4,13707,23,25,46.6,19116,34.0,13934,9.4,10.8,4433,12.5,5117,3.6,1483
18883,6,4501,46,5,38.0,5198,31.6,4321,8.2,6.8,924,11.3,1543,3.3,447
40011,0,9579,27,99,43.5,13012,33.5,10023,7.5,6.5,1939,10.6,3173,3.2,947
14874,0,3317,48,239,48.3,5354,36.3,4026,8.4,7.9,876,13.6,1508,3.4,377
13918,4,2951,2,130,45.4,4909,34.8,3764,6.8,7.2,778,10.6,1148,2.9,313
3028,0,955,48,191,57.7,1348,41.5,969,13.2,12.6,293,19.9,464,5.1,120
65936,19,16678,18,53,49.1,25702,38.3,20042,8.8,10.8,5661,14.5,7583,3.5,1823
19278,0,7360,29,15,51.9,8280,36.0,5742,12.2,13.1,2086,16.4,2621,4.3,687
220408,14,34981,6,113,32.5,56520,24.5,42673,5.1,5.1,8967,9.0,15603,2.6,4515
13775,0,3692,54,31,55.0,6032,38.2,4190,10.9,13.5,1480,15.6,1707,3.6,396
12392,0,3373,28,161,57.2,5504,41.2,3962,9.5,10.3,992,17.1,1645,3.9,375
23878,4,5247,18,143,52.7,9730,37.6,6946,8.6,11.7,2153,13.5,2496,3.3,609
29206,4,7527,29,207,53.0,12121,38.6,8822,9.6,11.3,2585,14.0,3203,3.5,803
11578,0,3381,19,165,43.8,3927,33.5,3007,8.5,7.7,694,11.5,1034,3.4,302
57840,6,13600,1,9,46.3,20584,34.0,15112,9.2,10.5,4661,13.5,6017,3.4,1507
93152,21,19251,21,37,45.8,33799,36.2,26700,7.6,9.3,6884,11.8,8720,2.8,2077
10225,0,2899,19,107,46.8,3687,37.1,2923,8.3,7.8,614,11.2,882,3.3,258
9016,0,2134,48,425,48.8,3417,36.5,2555,9.3,9.2,641,13.8,966,3.6,249
43247,0,7589,48,55,49.8,16400,37.8,12453,7.8,7.7,2524,14.6,4810,3.4,1123
144447,8,23558,40,17,40.5,43194,31.1,33176,6.5,6.9,7404,10.0,10661,2.6,2758
6033,0,1227,20,69,44.4,1901,36.2,1551,7.0,7.5,322,11.1,473,2.9,123
14310,0,3247,12,47,48.2,5598,34.6,4015,10.4,11.9,1377,15.5,1798,4.1,470
9509,0,3794,29,85,54.9,4323,37.7,2969,12.8,13.8,1086,17.0,1337,4.5,354
42756,0,12533,50,25,34.4,12086,26.3,9237,7.4,7.5,2626,9.8,3439,3.1,1087
181827,28,30768,6,25,46.0,59814,36.4,47343,6.8,6.1,7929,14.2,18521,3.8,4881
51823,6,17655,24,47,45.9,19687,36.4,15623,8.8,8.6,3671,14.0,5992,3.6,1530
54973,0,13887,51,31,49.2,21823,38.4,17028,8.2,8.9,3936,13.0,5767,3.4,1491
242922,107,54633,22,17,53.2,98667,43.6,80828,8.6,9.8,18209,15.7,29027,3.9,7239
68557,8,18236,37,193,52.0,28370,33.7,18371,10.3,11.5,6260,14.5,7891,3.9,2117
25549,8,5890,21,217,52.3,10406,39.4,7834,10.1,12.6,2496,14.8,2943,3.6,715
14134,0,3779,19,85,45.8,4975,34.2,3713,8.0,7.7,833,11.2,1217,3.1,342
6941,0,2156,51,36,51.1,3007,38.7,2279,9.7,10.2,600,17.7,1043,4.3,254
16999,0,4020,51,29,51.1,7157,40.9,5726,9.2,10.1,1411,15.2,2121,3.8,537
5229,0,1351,46,15,45.8,1769,35.3,1364,8.8,7.2,278,11.6,450,3.5,134
6841,0,2010,19,93,44.1,2284,34.6,1794,8.2,7.5,391,11.0,570,3.2,168
4968,0,1529,19,159,47.3,1799,37.3,1418,9.1,8.2,311,12.0,457,3.5,134
3183,0,1025,20,207,49.9,1254,38.9,977,10.8,11.2,281,15.7,393,4.1,103
12760,0,4109,54,89,60.6,6440,43.1,4583,12.4,15.3,1632,17.9,1907,4.2,444
27724,0,6379,39,1,54.4,11486,39.4,8326,10.6,13.2,2794,15.6,3291,3.8,810
28494,0,6343,27,79,41.1,8920,33.2,7200,6.6,5.6,1225,9.7,2111,2.8,608
25081,4,9417,26,69,52.0,10910,37.5,7864,11.7,12.5,2615,14.9,3119,4.2,873
43265,9,10951,40,137,53.5,17785,38.6,12836,9.8,9.9,3304,13.9,4635,3.5,1180
79115,14,16036,56,25,41.4,24897,30.7,18443,6.4,7.1,4261,9.8,5864,2.7,1636
16939,0,3605,51,101,45.6,5937,35.6,4639,7.0,7.8,1011,11.5,1505,3.0,388
413757,157,88103,1,97,48.9,155134,36.9,116990,8.8,9.1,28849,14.4,45540,3.5,11166
26398,0,6373,45,69,53.9,11389,43.3,9154,9.7,11.0,2318,18.7,3953,4.4,932
19150,0,4591,29,157,47.1,6908,34.4,5050,8.2,10.0,1463,11.7,1722,3.1,458
29519,0,9475,27,21,44.3,10317,34.6,8053,9.3,7.7,1801,12.8,2988,3.8,873
76796,25,16261,29,51,43.9,26221,36.1,21548,6.8,7.7,4611,10.7,6402,2.8,1668
68305,21,13012,48,497,50.9,26139,39.5,20297,7.8,8.3,4243,12.3,6303,3.1,1582
26244,0,8123,26,29,47.0,10003,34.8,7409,9.1,9.6,2036,12.0,2546,3.4,727
6060,0,1841,17,3,57.7,2692,42.4,1977,11.2,12.8,596,17.9,832,4.7,220
164044,8,21365,13,223,42.5,51513,33.0,39996,5.7,7.0,8429,10.4,12599,2.6,3196
45668,6,11750,18,93,46.3,16559,34.6,12362,8.8,10.9,3878,13.5,4812,3.3,1197
40462,2,9096,22,9,52.1,16100,40.2,12429,9.9,11.7,3628,15.7,4847,4.0,1232
5248,0,1372,48,247,54.2,1972,42.1,1530,9.6,7.3,264,19.9,725,4.6,166
15841,0,4077,51,11,47.4,5926,34.4,4297,8.7,9.5,1185,13.4,1673,3.6,444
42470,0,8705,13,233,48.8,15474,35.6,11282,8.4,10.1,3194,13.9,4417,3.5,1109
25473,0,6046,29,7,47.5,9326,35.6,6994,8.4,10.3,2018,12.3,2417,3.3,643
151132,18,34833,33,13,37.4,45677,27.0,32989,6.4,7.5,9182,9.8,12030,2.7,3308
1052567,150,209461,24,31,32.5,262835,24.4,197204,5.1,4.6,37259,10.4,84078,2.6,21297
162927,16,34412,39,133,40.8,54031,29.5,39057,7.3,8.2,10882,10.4,13788,2.8,3642
8200,0,2034,8,21,41.1,2494,29.2,1774,8.7,7.4,452,14.3,867,4.2,253
14847,0,4125,5,21,49.2,5718,34.3,3985,11.3,12.3,1435,14.6,1692,3.9,458
58086,8,11657,39,129,48.1,21940,37.3,17024,7.6,9.2,4178,11.7,5350,2.9,1303
18381,0,5327,19,101,39.6,6140,31.0,4812,7.4,6.7,1046,10.4,1610,3.0,468
590925,97,96577,48,339,40.8,177437,34.0,147965,6.5,6.4,27802,10.7,46565,2.7,11942
394855,90,120595,12,81,45.4,146508,27.9,90043,10.2,10.0,32144,13.4,43242,3.8,12242
22391,0,4832,51,127,45.0,8052,33.3,5961,6.6,7.0,1253,10.9,1950,2.8,497
7961,0,2895,16,59,45.2,2928,34.5,2233,10.7,9.5,618,14.8,960,4.2,271
50224,4,10123,48,493,43.6,16633,33.6,12827,7.4,6.9,2641,12.7,4846,3.1,1195
4280,0,1351,48,319,50.5,1710,35.4,1198,11.0,9.6,326,15.7,531,4.1,140
91083,6,24903,42,97,47.3,34681,36.0,26382,8.9,9.7,7118,12.7,9333,3.5,2547
43226,8,9197,18,33,41.3,13530,33.4,10944,7.4,9.4,3091,11.8,3859,2.9,957
2922,0,874,46,105,44.2,1025,30.8,714,9.5,7.0,163,11.9,276,3.6,83
18240,42,5047,42,93,44.0,6392,33.1,4804,7.8,8.1,1170,11.1,1612,3.2,458
23920,0,6134,1,25,57.4,10741,40.5,7584,10.7,11.5,2161,19.1,3575,4.3,811
8271,0,2049,28,9,55.0,3563,39.5,2559,10.1,11.6,749,17.0,1101,4.1,263
191224,8,41663,26,93,39.5,59550,31.8,47893,6.9,7.5,11230,8.9,13442,2.7,4081
204826,6,34052,39,41,40.1,60607,32.7,49380,5.6,5.9,8901,9.4,14149,2.3,3478
124937,15,25531,45,77,39.9,40363,29.0,29355,7.1,7.8,7941,10.9,11065,3.0,2995
28108,48,5865,51,840,42.7,9284,31.7,6896,7.0,7.6,1661,11.1,2408,3.0,653
3378,0,1229,30,39,40.3,1153,31.1,890,9.2,8.0,229,12.3,351,3.6,103
28558,6,6047,8,87,39.3,8302,29.2,6171,6.9,7.0,1469,9.7,2060,3.2,668
6843,0,1917,8,109,43.8,2355,29.8,1603,9.4,9.1,487,14.1,760,4.2,225
67111,12,20453,23,3,52.1,28593,37.7,20692,10.5,10.7,5859,14.9,8158,3.8,2094
24881,5,6150,1,5,57.5,11325,40.7,8013,11.0,12.1,2373,19.7,3870,4.5,887
14705,0,4445,29,73,47.1,5505,32.8,3830,9.0,10.1,1184,12.5,1457,3.4,391
75448,0,18230,26,159,47.1,27297,37.0,21434,9.0,10.3,5953,12.7,7354,3.5,2004
18998,0,2398,13,183,46.7,6468,35.0,4850,6.6,8.2,1142,12.7,1756,3.1,423
30816,0,9166,13,123,45.8,11421,31.9,7946,10.0,11.0,2748,14.3,3570,3.8,948
378488,73,132129,12,21,39.6,124085,28.5,89403,10.5,9.6,30066,13.8,43370,4.0,12587
12619,0,2510,48,115,53.3,5005,41.2,3868,9.2,8.8,825,16.2,1522,3.9,369
33169,6,8184,27,97,41.2,10462,31.5,8004,7.8,6.8,1736,10.9,2765,3.2,804
10919,7,3102,51,57,47.1,4187,35.5,3156,9.2,9.7,859,15.6,1389,4.0,354
18717,0,3849,28,131,50.3,7420,36.6,5402,8.3,9.7,1429,13.1,1939,3.3,481
23244,0,6309,51,75,41.0,7840,30.7,5871,7.5,7.3,1404,11.6,2217,3.1,599
50159,0,9760,55,15,37.1,14168,32.6,12453,6.0,5.8,2198,8.5,3245,2.6,994
274255,22,57232,6,87,28.4,62929,20.9,46273,5.7,5.9,13091,9.2,20316,2.9,6334
28529,0,6361,51,53,51.0,11642,38.5,8795,8.0,8.7,1981,14.1,3221,3.5,791
6196,0,1772,20,53,49.0,2481,39.8,2013,8.2,8.2,413,12.7,643,3.2,164
128754,0,74936,12,119,49.7,59485,28.9,34579,13.7,11.8,14072,16.6,19838,4.8,5704
42907,0,9148,53,17,38.3,12199,30.7,9776,7.9,7.5,2382,11.4,3632,3.3,1058
107002,11,22508,41,71,44.7,37223,33.7,28067,7.3,7.6,6319,11.2,9305,3.0,2512
790638,98,173485,25,9,38.5,239442,30.1,187267,6.4,6.3,39418,9.8,60737,2.8,17721
33680,0,7544,20,121,39.8,10110,34.6,8796,7.0,6.9,1753,10.2,2602,2.8,703
12359,4,3366,19,175,48.6,4678,36.0,3461,8.4,8.2,786,12.1,1161,3.3,320
29650,0,6721,13,195,44.8,10218,32.1,7323,8.4,9.9,2261,13.6,3095,3.4,782
6071,0,2237,42,113,48.3,2620,34.6,1877,10.0,10.3,560,13.8,750,3.7,203
57685,8,10941,13,129,49.1,21406,35.6,15535,8.5,10.3,4474,13.4,5856,3.4,1493
23606,8,6183,5,103,54.1,9916,41.3,7563,10.9,11.1,2036,18.1,3310,4.3,796
10030,0,2518,21,169,57.1,4381,39.1,2998,12.0,15.2,1168,16.9,1299,4.1,314
222846,74,46215,37,71,47.5,82042,33.4,57661,8.0,8.9,15402,12.4,21440,3.3,5672
161505,55,36910,16,55,39.9,49730,29.7,37030,7.3,7.0,8761,11.0,13685,3.0,3797
23023,8,5691,13,119,47.6,8585,31.6,5693,9.5,11.2,2010,14.6,2637,3.8,678
1747,0,529,30,19,39.0,535,29.4,404,8.8,7.4,102,11.3,155,3.5,48
3999,0,1029,27,125,42.3,1281,33.6,1019,8.0,6.7,204,11.3,343,3.3,99
40439,0,7818,47,21,45.4,14308,33.3,10483,7.8,9.9,3113,11.9,3748,3.0,929
153095,117,31993,13,21,50.1,57876,38.2,44110,7.9,8.8,10157,16.4,18916,3.8,4419
39272,0,7602,13,219,34.4,9888,26.8,7710,5.8,5.8,1678,9.4,2718,2.5,728
16024,6,4386,54,41,57.5,7262,43.8,5528,11.2,13.9,1753,15.6,1964,3.7,468
49045,3,11692,47,53,54.0,20048,39.7,14736,9.5,11.2,4154,15.1,5611,3.7,1356
66523,4,13206,27,131,34.9,18136,30.2,15700,6.2,5.3,2735,8.7,4547,2.6,1377
25418,0,5778,48,419,52.8,9951,39.0,7355,10.0,10.5,1984,15.9,3000,4.0,755
107679,54,24289,23,1,45.6,38484,33.6,28341,7.9,8.5,7167,11.7,9865,3.1,2619
8021,0,2712,31,101,44.8,2886,35.6,2291,9.0,8.2,526,12.4,797,3.6,229
364286,215,81748,47,65,47.2,136261,36.3,104777,7.8,8.9,25824,12.9,37343,3.2,9103
12726,4,2950,21,25,60.5,6126,42.3,4285,12.5,17.0,1726,17.6,1784,4.3,433
10283,0,1102,46,121,54.3,3240,41.3,2464,11.4,11.8,704,18.8,1120,5.0,296
6150,4,1776,20,123,45.2,2133,34.8,1642,8.9,8.4,397,12.9,606,3.5,163
27943,0,6355,18,175,46.6,10051,37.4,8063,8.4,11.1,2388,12.9,2782,3.2,692
20744,0,5304,19,105,45.1,7361,37.0,6033,8.1,7.7,1260,11.4,1855,3.2,524
3355,0,732,48,295,48.3,1202,36.4,906,8.8,8.5,211,13.3,332,3.4,86
1218452,580,303430,42,3,41.7,413499,31.9,316034,6.8,6.8,66908,10.3,101890,2.9,28884
11185,4,2329,13,5,50.0,4169,36.9,3076,9.3,11.3,945,15.2,1264,3.8,320
15695,0,2482,48,389,48.4,5885,39.0,4745,6.7,5.7,698,13.7,1666,3.1,382
52377,0,13196,41,9,45.9,18981,35.0,14458,7.8,8.5,3514,11.7,4816,3.2,1315
20470,5,4743,29,49,45.9,7182,33.6,5262,8.2,9.3,1456,11.6,1811,3.1,482
66999,8,11259,18,11,36.7,18062,29.3,14439,5.6,6.6,3260,9.5,4691,2.4,1186
28919,9,5674,28,83,54.8,11485,45.1,9448,9.7,11.0,2296,19.2,4027,4.6,968
51554,0,11571,55,43,39.8,16238,35.1,14318,6.9,6.7,2749,9.1,3698,2.9,1183
106222,10,25472,39,109,44.4,36363,32.4,26514,8.1,9.2,7555,11.7,9590,3.1,2511
14755,0,3372,47,7,54.3,6790,39.8,4977,10.3,12.6,1576,15.0,1877,3.6,454
40763,6,11363,42,117,51.3,16752,35.2,11483,8.9,9.5,3103,12.6,4105,3.4,1116
3997,0,804,20,81,46.9,1348,36.9,1060,8.0,8.8,253,13.6,389,3.4,96
41179,0,9667,40,135,57.7,18332,38.6,12259,11.5,12.7,4027,16.4,5198,4.2,1327
5821,0,1349,40,55,50.9,2365,37.1,1724,9.8,10.1,467,13.9,645,3.6,168
18627,0,4727,19,31,47.0,6813,40.3,5848,7.2,6.6,960,10.0,1457,2.9,419
7915,0,2318,13,181,49.2,3148,33.6,2152,9.9,10.9,701,16.9,1080,4.1,264
8758,0,3035,16,35,50.0,3649,35.0,2555,10.0,9.1,668,14.0,1020,3.8,278
88028,10,20857,26,87,48.7,34019,36.7,25636,8.3,9.6,6699,11.1,7745,3.1,2183
50251,0,12065,24,35,38.9,15345,28.5,11238,6.7,7.2,2855,10.4,4113,2.8,1118
811880,165,143926,41,51,34.1,224913,26.1,171994,5.7,5.8,38276,9.1,60296,2.6,16883
154291,0,26092,13,73,38.2,43934,29.9,34428,5.8,6.2,7109,10.6,12148,2.6,3003
82029,12,20816,37,27,51.9,33996,37.1,24315,9.7,10.9,7160,14.0,9188,3.6,2380
13838,0,3468,40,5,54.3,5828,38.5,4131,10.9,11.4,1219,15.1,1618,3.9,419
5830,0,1441,54,105,59.3,2720,39.9,1831,12.6,15.5,709,17.2,791,4.0,184
254149,15,42210,13,57,37.4,71867,28.5,54736,5.8,6.4,12361,10.0,19193,2.6,4965
16226,0,4079,13,83,46.1,6045,30.8,4037,8.4,10.1,1319,12.6,1658,3.3,435
83209,26,19242,26,111,40.6,26575,33.6,22018,7.5,8.1,5330,9.9,6516,3.0,1936
9242,0,2565,21,139,52.6,3874,39.4,2899,11.2,13.4,988,16.0,1176,3.7,275
75498,10,18426,36,105,49.5,29469,37.5,22311,8.5,9.5,5660,12.6,7502,3.4,1997
15126,0,3700,21,119,60.6,7324,44.3,5351,12.6,16.5,1999,18.8,2270,4.3,521
235908,14,36152,37,179,40.3,69524,32.0,55236,6.2,6.7,11535,10.4,18026,2.7,4624
15673,0,2754,48,371,49.6,5876,39.0,4622,7.6,6.7,789,14.7,1743,3.3,397
1150215,163,231404,6,13,33.7,300047,23.1,205688,5.4,5.2,46118,9.8,87571,2.8,24756
31756,5,8189,47,25,52.2,13404,36.5,9379,10.2,12.7,3266,15.0,3858,3.7,950
25337,0,8522,26,51,49.8,10245,37.0,7614,11.6,12.8,2632,14.7,3023,4.1,850
6237,0,1486,51,530,46.7,2406,34.3,1766,9.4,10.8,557,13.3,686,3.7,190
36968,16,12868,24,41,41.6,12585,30.0,9076,8.8,8.5,2557,12.1,3656,3.7,1106
36552,6,8504,48,321,52.2,14206,40.5,11027,9.2,8.7,2369,15.9,4317,3.8,1043
25643,36,6421,51,775,44.3,9088,34.1,7000,7.0,7.4,1516,10.4,2144,2.9,589
13422,0,4652,37,143,49.2,5389,35.2,3858,10.8,10.8,1185,16.1,1764,4.3,467
33277,0,9316,51,23,43.1,11640,31.2,8423,8.0,8.1,2183,11.0,2966,3.1,841
70741,30,16269,45,47,48.9,26805,36.3,19882,8.6,9.1,4958,14.3,7831,3.7,2027
45313,0,12200,17,117,45.1,16090,33.2,11842,8.2,9.4,3341,11.3,4045,3.3,1160
34586,2,8776,18,151,51.5,14148,36.3,9971,8.3,9.9,2720,12.9,3539,3.1,859
4195,0,1511,31,129,46.8,1571,37.4,1256,9.6,8.7,292,12.5,420,3.7,125
